id,timestamp,cpu,memory,disk,battery,power,carbon,eco_score
1,2026-07-15 09:41:32,8.3,61.4,32.7,80.0,36.43,0.0299,90.0
2,2026-07-15 10:01:16,22.3,69.1,33.5,80.0,44.97,0.0369,90.0
3,2026-07-15 10:01:58,57.3,67.2,33.7,80.0,62.09,0.0509,65.0
4,2026-07-15 14:25:26,13.6,74.7,32.9,80.0,41.74,0.0342,90.0
5,2026-07-15 14:29:21,13.1,74.8,32.9,80.0,41.51,0.034,90.0
